Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Kids,Status,Family_size,Expenses,Total_Purchases,Engaged_in_days,TotalAcceptedCmp,AmountPerPurchase
1949,Master,Single,51529.0,0,1,2013-09-07,14,400,4,35,6,0,22,2,9,1,5,8,0,0,0,0,0,0,0,74,1,1,2,467,17,3603 days 14:46:24.812721,0,27.470588235294116
1971,PhD,Relationship,32011.0,1,0,2013-08-22,89,99,0,15,2,1,5,3,2,1,4,7,0,0,0,0,0,0,0,52,1,2,3,122,10,3619 days 14:46:24.812721,0,12.2
1986,Master,Relationship,7500.0,1,0,2013-02-07,96,1,11,5,4,6,9,2,2,0,3,8,0,0,0,0,0,0,0,37,1,2,3,36,7,3815 days 14:46:24.812721,0,5.142857142857143
1989,Graduation,Relationship,28691.0,1,0,2013-07-04,56,5,4,13,8,0,4,1,1,0,3,8,0,0,0,0,0,0,0,34,1,2,3,34,5,3668 days 14:46:24.812721,0,6.8
1948,PhD,Relationship,56223.0,0,1,2013-12-20,72,77,28,31,16,0,4,2,2,1,5,4,0,0,0,0,0,0,0,75,1,2,3,156,10,3499 days 14:46:24.812721,0,15.6
1946,Graduation,Relationship,18100.0,0,0,2013-08-06,14,3,1,2,4,3,1,1,0,0,3,5,0,0,0,0,0,0,0,77,0,2,2,14,4,3635 days 14:46:24.812721,0,3.5
1989,Graduation,Single,30279.0,1,0,2012-12-30,13,10,4,14,4,4,1,1,1,0,3,8,0,0,0,0,0,0,0,34,1,1,2,37,5,3854 days 14:46:24.812721,0,7.4
1974,Master,Relationship,20130.0,0,0,2014-03-17,99,0,6,3,7,6,12,1,1,0,3,8,0,0,0,0,0,0,0,49,0,2,2,34,5,3412 days 14:46:24.812721,0,6.8
1959,Graduation,Single,23295.0,0,0,2013-07-13,72,0,0,1,2,12,5,1,1,0,2,8,0,0,0,0,0,0,0,64,0,1,1,20,4,3659 days 14:46:24.812721,0,5.0
1972,Master,Single,42618.0,1,0,2013-10-09,92,76,14,74,13,5,10,2,5,0,4,8,0,0,0,0,0,0,0,51,1,1,2,192,11,3571 days 14:46:24.812721,0,17.454545454545453
1964,Graduation,Single,81246.0,0,0,2013-12-29,87,398,190,537,61,156,37,1,4,5,7,1,1,0,0,1,0,0,0,59,0,1,1,1379,17,3490 days 14:46:24.812721,2,81.11764705882354
1976,Graduation,Relationship,24027.0,1,0,2013-06-09,7,14,7,11,11,0,5,2,2,0,3,8,0,0,0,0,0,0,0,47,1,2,3,48,7,3693 days 14:46:24.812721,0,6.857142857142857
1953,PhD,Relationship,55707.0,0,1,2013-12-22,91,208,7,82,30,66,35,2,3,2,9,3,0,0,0,0,0,0,0,70,1,2,3,428,16,3497 days 14:46:24.812721,0,26.75
1955,Graduation,Single,57959.0,0,1,2013-05-02,71,430,16,322,43,24,33,5,4,7,11,3,0,0,0,0,0,0,0,68,1,1,2,868,27,3731 days 14:46:24.812721,0,32.148148148148145
1969,Graduation,Relationship,56796.0,0,1,2013-02-16,24,656,38,161,62,47,37,3,8,9,7,7,0,0,0,0,0,0,0,54,1,2,3,1001,27,3806 days 14:46:24.812721,0,37.074074074074076
1971,Master,Single,36230.0,1,0,2013-10-17,17,14,2,30,8,2,3,1,2,0,4,5,0,0,0,0,0,0,0,52,1,1,2,59,7,3563 days 14:46:24.812721,0,8.428571428571429
1980,Master,Relationship,70829.0,1,1,2013-12-01,87,141,70,106,72,19,23,2,4,2,8,3,0,0,0,0,0,0,0,43,2,2,4,431,16,3518 days 14:46:24.812721,0,26.9375
1976,Graduation,Relationship,65991.0,0,1,2012-09-07,21,507,19,364,25,47,9,3,9,5,10,7,0,0,0,0,0,0,0,47,1,2,3,971,27,3968 days 14:46:24.812721,0,35.96296296296296
1972,Graduation,Relationship,38988.0,1,2,2012-08-20,90,164,24,103,12,3,42,7,5,1,6,8,0,0,0,0,0,0,0,51,3,2,5,348,19,3986 days 14:46:24.812721,0,18.31578947368421
1966,Master,Single,89572.0,0,0,2012-09-15,44,606,24,974,197,194,64,1,7,7,9,4,0,1,0,1,0,0,1,57,0,1,1,2059,24,3960 days 14:46:24.812721,3,85.79166666666667
1984,Master,Relationship,42207.0,1,0,2013-04-01,71,116,11,72,3,17,46,4,4,1,5,6,1,0,0,0,0,0,1,39,1,2,3,265,14,3762 days 14:46:24.812721,2,18.928571428571427
1952,Graduation,Relationship,50300.0,0,1,2014-05-25,52,143,15,60,24,23,5,2,2,1,8,2,0,0,0,0,0,0,0,71,1,2,3,270,13,3343 days 14:46:24.812721,0,20.76923076923077
1982,Master,Relationship,66664.0,0,0,2012-09-25,78,398,96,447,220,96,32,1,5,7,6,3,0,0,0,0,0,0,0,41,0,2,2,1289,19,3950 days 14:46:24.812721,0,67.84210526315789
1964,Graduation,Relationship,60597.0,0,1,2014-01-01,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,0,1,59,1,2,3,893,16,3487 days 14:46:24.812721,2,55.8125
1949,Graduation,Single,70165.0,0,0,2013-09-22,60,161,0,253,199,191,122,1,3,7,11,1,0,0,0,0,0,0,0,74,0,1,1,926,22,3588 days 14:46:24.812721,0,42.09090909090909
1958,PhD,Single,50520.0,0,1,2014-01-28,25,112,0,6,2,1,14,2,3,1,3,6,0,0,0,0,0,0,0,65,1,1,2,135,9,3460 days 14:46:24.812721,0,15.0
1963,Graduation,Relationship,80124.0,0,0,2014-06-26,47,483,84,398,205,84,241,1,3,7,8,1,1,0,0,0,0,0,0,60,0,2,2,1495,19,3311 days 14:46:24.812721,1,78.6842105263158
1975,Graduation,Relationship,33183.0,1,0,2014-02-24,46,7,5,39,17,15,37,2,4,0,3,7,0,0,0,0,0,0,0,48,1,2,3,120,9,3433 days 14:46:24.812721,0,13.333333333333334
1969,PhD,Single,66582.0,0,0,2014-03-03,83,789,25,420,16,38,0,1,2,8,9,1,0,0,0,0,0,0,0,54,0,1,1,1288,20,3426 days 14:46:24.812721,0,64.4
1955,PhD,Relationship,75261.0,0,0,2013-04-23,17,1239,17,413,23,34,17,1,5,6,5,2,0,1,1,0,0,0,1,68,0,2,2,1743,17,3740 days 14:46:24.812721,3,102.52941176470588
1970,Graduation,Single,31880.0,1,0,2012-10-31,13,4,1,5,2,0,3,1,1,0,2,8,0,0,0,0,0,0,0,53,1,1,2,15,4,3914 days 14:46:24.812721,0,3.75
1951,Graduation,Relationship,53790.0,0,2,2014-03-06,86,335,42,127,28,5,5,3,7,2,8,6,0,0,0,0,0,0,0,72,2,2,4,542,20,3423 days 14:46:24.812721,0,27.1
1971,PhD,Relationship,49269.0,1,0,2012-08-15,92,639,8,166,11,8,58,3,7,3,12,7,0,0,0,0,0,0,0,52,1,2,3,890,25,3991 days 14:46:24.812721,0,35.6
1975,Graduation,Relationship,61456.0,0,1,2013-03-27,47,563,76,384,84,192,89,4,6,10,13,4,0,0,0,0,0,0,0,48,1,2,3,1388,33,3767 days 14:46:24.812721,0,42.06060606060606
1980,Graduation,Relationship,37406.0,1,0,2013-10-10,18,2,0,8,2,2,3,1,1,0,2,8,0,0,0,0,0,0,1,43,1,2,3,17,4,3570 days 14:46:24.812721,1,4.25
1981,PhD,Relationship,56937.0,1,0,2012-08-04,81,746,8,125,11,8,8,7,8,6,9,6,0,1,0,0,0,0,1,42,1,2,3,906,30,4002 days 14:46:24.812721,2,30.2
1978,Graduation,Relationship,38415.0,1,1,2013-01-02,91,22,1,13,4,0,4,2,1,0,3,7,0,0,0,0,0,0,0,45,2,2,4,44,6,3851 days 14:46:24.812721,0,7.333333333333333
1988,Graduation,Single,20518.0,1,0,2014-05-18,58,4,1,6,4,1,9,1,1,1,2,5,0,0,0,0,0,0,0,35,1,1,2,25,5,3350 days 14:46:24.812721,0,5.0
1956,Graduation,Relationship,62503.0,0,1,2013-02-18,40,478,0,193,110,75,117,4,8,3,11,5,0,0,0,0,0,0,0,67,1,2,3,973,26,3804 days 14:46:24.812721,0,37.42307692307692
1972,PhD,Single,41644.0,1,1,2014-05-09,67,20,3,4,2,0,2,2,1,0,3,3,0,0,0,0,0,0,0,51,2,1,3,31,6,3359 days 14:46:24.812721,0,5.166666666666667
1977,Master,Relationship,55842.0,0,1,2014-05-23,19,451,0,39,0,4,24,1,7,1,8,5,0,0,0,0,0,0,0,46,1,2,3,518,17,3345 days 14:46:24.812721,0,30.470588235294116
1972,PhD,Relationship,62010.0,0,1,2012-10-23,93,371,22,39,6,0,92,4,6,2,7,5,0,0,0,0,0,0,0,51,1,2,3,530,19,3922 days 14:46:24.812721,0,27.894736842105264
1977,Graduation,Relationship,41124.0,1,0,2012-10-31,41,281,7,84,15,0,119,7,7,3,4,8,0,0,0,0,0,0,0,46,1,2,3,506,21,3914 days 14:46:24.812721,0,24.095238095238095
1973,Master,Relationship,38961.0,1,0,2013-12-30,60,19,7,19,0,1,24,1,2,1,2,7,0,0,0,0,0,0,0,50,1,2,3,70,6,3489 days 14:46:24.812721,0,11.666666666666666
1972,Master,Single,37760.0,1,0,2013-08-11,54,26,3,13,2,10,0,1,2,0,3,6,0,0,0,0,0,0,0,51,1,1,2,54,6,3630 days 14:46:24.812721,0,9.0
1974,Graduation,Single,32233.0,1,0,2012-08-19,26,138,15,35,25,11,72,2,6,2,2,9,1,0,0,0,0,0,1,49,1,1,2,296,12,3987 days 14:46:24.812721,2,24.666666666666668
1975,Graduation,Relationship,43057.0,0,1,2013-10-30,30,213,2,44,0,2,5,4,4,2,5,5,0,0,0,0,0,0,0,48,1,2,3,266,15,3550 days 14:46:24.812721,0,17.733333333333334
1960,Master,Relationship,83151.0,0,0,2012-10-10,93,407,28,100,120,74,18,1,5,9,4,3,0,0,0,0,0,0,0,63,0,2,2,747,19,3935 days 14:46:24.812721,0,39.31578947368421
1964,PhD,Single,78825.0,0,0,2012-09-14,35,483,74,114,169,37,18,1,5,10,13,3,0,0,0,0,0,0,1,59,0,1,1,895,29,3961 days 14:46:24.812721,1,30.862068965517242
1976,Master,Relationship,65104.0,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,47,1,2,3,1053,17,3535 days 14:46:24.812721,0,61.94117647058823
1974,Graduation,Relationship,60093.0,0,1,2013-06-26,92,502,12,109,16,6,90,2,7,2,10,6,0,0,0,0,0,0,0,49,1,2,3,735,21,3676 days 14:46:24.812721,0,35.0
1969,Graduation,Relationship,14045.0,1,0,2014-01-26,24,11,0,5,2,1,1,1,1,0,3,7,0,0,0,0,0,0,0,54,1,2,3,20,5,3462 days 14:46:24.812721,0,4.0
1952,Master,Single,28457.0,0,0,2012-10-28,96,24,1,108,29,29,14,1,4,1,4,8,0,0,0,0,0,0,0,71,0,1,1,205,10,3917 days 14:46:24.812721,0,20.5
1958,PhD,Relationship,78952.0,0,1,2012-09-24,11,1170,19,594,99,76,134,2,2,5,12,6,0,0,0,0,0,0,0,65,1,2,3,2092,21,3951 days 14:46:24.812721,0,99.61904761904762
1976,Graduation,Single,46310.0,1,0,2012-12-03,99,185,2,88,15,5,14,2,6,1,5,8,0,0,0,0,0,0,0,47,1,1,2,309,14,3881 days 14:46:24.812721,0,22.071428571428573
1955,Graduation,Relationship,76005.0,0,0,2013-02-22,72,983,20,389,240,50,40,1,3,5,13,6,0,0,0,1,0,0,0,68,0,2,2,1722,22,3800 days 14:46:24.812721,1,78.27272727272727
1964,Master,Single,58308.0,0,1,2013-01-12,77,691,0,69,10,0,130,4,2,6,3,8,0,0,0,0,0,0,0,59,1,1,2,900,15,3841 days 14:46:24.812721,0,60.0
1944,PhD,Single,55614.0,0,0,2013-11-27,85,504,13,131,8,0,26,1,9,4,6,7,0,1,0,0,0,0,0,79,0,1,1,682,20,3522 days 14:46:24.812721,1,34.1
1962,Master,Single,59432.0,0,1,2013-04-13,88,317,25,265,25,19,12,3,5,3,11,5,0,0,0,0,0,0,0,61,1,1,2,663,22,3750 days 14:46:24.812721,0,30.136363636363637
1978,Graduation,Single,55563.0,0,1,2014-04-05,22,29,1,9,2,0,2,1,2,0,3,3,0,0,0,0,0,0,0,45,1,1,2,43,6,3393 days 14:46:24.812721,0,7.166666666666667
1971,PhD,Relationship,78642.0,0,1,2013-04-21,83,1396,0,322,46,35,17,1,4,9,4,6,0,0,0,0,0,0,0,52,1,2,3,1816,18,3742 days 14:46:24.812721,0,100.88888888888889
1949,PhD,Relationship,67911.0,0,1,2014-05-22,63,529,0,356,63,28,0,3,6,7,11,3,0,0,0,0,0,0,0,74,1,2,3,976,27,3346 days 14:46:24.812721,0,36.148148148148145
1944,Graduation,Relationship,65275.0,0,0,2013-04-03,9,388,14,218,91,14,21,1,4,3,13,2,0,0,0,0,0,0,0,79,0,2,2,746,21,3760 days 14:46:24.812721,0,35.523809523809526
1950,Graduation,Relationship,27203.0,1,1,2012-08-06,92,13,2,21,4,0,24,2,1,1,2,8,0,0,0,0,0,0,0,73,2,2,4,64,6,4000 days 14:46:24.812721,0,10.666666666666666
1961,Master,Relationship,48330.0,0,1,2013-11-15,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,62,1,2,3,32,5,3534 days 14:46:24.812721,0,6.4
1990,Basic,Relationship,24279.0,0,0,2012-12-29,6,16,36,21,20,62,108,1,4,1,3,8,0,0,0,0,0,0,0,33,0,2,2,263,9,3855 days 14:46:24.812721,0,29.22222222222222
1985,PhD,Relationship,64355.0,1,0,2012-08-24,66,1047,0,140,67,38,153,2,4,3,12,8,0,0,0,0,0,0,0,38,1,2,3,1445,21,3982 days 14:46:24.812721,0,68.80952380952381
1956,Master,Relationship,50943.0,0,1,2013-06-21,49,31,0,7,2,0,6,1,1,0,3,5,0,0,0,0,0,0,0,67,1,2,3,46,5,3681 days 14:46:24.812721,0,9.2
1953,Graduation,Single,53653.0,0,0,2012-11-07,29,815,10,239,28,10,108,2,10,4,12,6,0,0,0,0,0,0,0,70,0,1,1,1210,28,3907 days 14:46:24.812721,0,43.214285714285715
1976,Graduation,Relationship,65665.0,0,1,2013-12-02,77,225,162,387,106,36,29,1,5,10,8,3,0,0,0,0,0,0,0,47,1,2,3,945,24,3517 days 14:46:24.812721,0,39.375
1989,Graduation,Single,81217.0,0,0,2013-07-19,77,493,70,324,146,40,84,1,3,7,11,1,0,0,0,0,0,0,0,34,0,1,1,1157,22,3653 days 14:46:24.812721,0,52.59090909090909
1992,Graduation,Relationship,34935.0,0,0,2013-06-21,71,34,4,66,3,10,20,1,2,1,4,7,0,0,0,0,0,0,0,31,0,2,2,137,8,3681 days 14:46:24.812721,0,17.125
1959,Graduation,Single,61250.0,0,1,2012-12-16,49,382,138,65,60,26,59,6,5,2,12,5,0,0,0,0,0,0,0,64,1,1,2,730,25,3868 days 14:46:24.812721,0,29.2
1981,PhD,Relationship,39665.0,1,0,2013-05-25,97,127,1,56,0,1,31,3,4,2,3,7,1,0,0,0,0,0,0,42,1,2,3,216,12,3708 days 14:46:24.812721,1,18.0
1979,Graduation,Single,60152.0,0,1,2013-03-28,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,0,44,1,1,2,943,23,3766 days 14:46:24.812721,0,41.0
1964,Graduation,Relationship,48920.0,0,2,2013-10-20,93,238,17,68,8,10,6,3,6,2,5,7,0,1,0,0,0,0,0,59,2,2,4,347,16,3560 days 14:46:24.812721,1,21.6875
1959,Master,Relationship,89120.0,0,0,2014-03-17,78,1168,92,408,72,129,55,1,5,6,7,1,0,0,1,0,0,0,0,64,0,2,2,1924,19,3412 days 14:46:24.812721,1,101.26315789473684
1946,PhD,Relationship,44124.0,0,1,2013-05-11,62,284,0,55,0,6,52,4,6,2,5,8,0,0,0,0,0,0,0,77,1,2,3,397,17,3722 days 14:46:24.812721,0,23.352941176470587
1975,Master,Single,81169.0,0,0,2013-04-14,47,1288,20,613,80,61,27,1,5,7,9,2,0,0,0,0,0,0,0,48,0,1,1,2089,22,3749 days 14:46:24.812721,0,94.95454545454545
1961,Graduation,Relationship,36443.0,1,1,2013-02-03,9,65,0,46,4,3,20,4,3,1,3,8,0,0,0,0,0,0,0,62,2,2,4,138,11,3819 days 14:46:24.812721,0,12.545454545454545
1990,Graduation,Single,26095.0,1,0,2013-06-30,77,11,7,9,3,1,11,1,1,0,3,7,0,0,0,0,0,0,0,33,1,1,2,42,5,3672 days 14:46:24.812721,0,8.4
1959,Graduation,Relationship,71367.0,0,0,2013-08-23,24,227,23,389,42,21,75,1,4,5,7,2,0,0,0,0,0,0,0,64,0,2,2,777,17,3618 days 14:46:24.812721,0,45.705882352941174
1944,Master,Relationship,80184.0,0,0,2014-03-01,19,1035,134,670,25,38,0,1,6,3,10,3,0,0,1,1,0,0,0,79,0,2,2,1902,20,3428 days 14:46:24.812721,2,95.1
1965,Graduation,Single,30630.0,1,1,2014-01-27,67,27,1,12,2,0,10,2,2,0,3,7,0,0,0,0,0,0,0,58,2,1,3,52,7,3461 days 14:46:24.812721,0,7.428571428571429
1987,Master,Single,73454.0,0,0,2014-03-01,95,982,73,351,56,14,175,1,2,4,6,5,1,0,0,0,0,0,0,36,0,1,1,1651,13,3428 days 14:46:24.812721,1,127.0
1991,Graduation,Relationship,42691.0,0,0,2013-08-16,48,179,2,64,38,17,58,1,5,1,6,5,0,0,0,0,0,0,0,32,0,2,2,358,13,3625 days 14:46:24.812721,0,27.53846153846154
1953,Graduation,Relationship,70503.0,0,0,2012-09-30,73,1379,33,216,0,33,66,1,2,4,9,6,0,1,1,0,0,0,0,70,0,2,2,1727,16,3945 days 14:46:24.812721,2,107.9375
1987,Graduation,Relationship,25545.0,1,0,2012-09-08,35,32,1,64,16,12,85,3,2,2,3,6,0,0,0,0,0,0,1,36,1,2,3,210,10,3967 days 14:46:24.812721,1,21.0
1986,Graduation,Relationship,32880.0,1,0,2012-12-04,76,8,4,15,7,6,2,1,1,0,3,8,0,0,0,0,0,0,0,37,1,2,3,42,5,3880 days 14:46:24.812721,0,8.4
1958,PhD,Relationship,77863.0,0,0,2013-11-27,20,881,38,319,16,25,12,1,4,5,10,2,0,0,0,0,0,0,0,65,0,2,2,1291,20,3522 days 14:46:24.812721,0,64.55
1977,Master,Relationship,50353.0,0,0,2014-06-08,72,141,15,153,67,31,35,1,4,4,6,3,0,0,0,0,0,0,0,46,0,2,2,442,15,3329 days 14:46:24.812721,0,29.466666666666665
1964,Graduation,Single,61839.0,0,0,2012-08-12,20,1000,155,379,224,17,120,1,4,8,4,8,0,0,0,0,0,0,0,59,0,1,1,1895,17,3994 days 14:46:24.812721,0,111.47058823529412
1960,PhD,Relationship,49154.0,1,1,2013-11-03,69,206,10,67,30,27,71,6,4,1,8,6,0,0,0,0,0,0,0,63,2,2,4,411,19,3546 days 14:46:24.812721,0,21.63157894736842
1975,Master,Single,47682.0,0,1,2013-02-15,80,162,61,83,97,57,61,4,4,3,8,5,0,0,0,0,0,0,0,48,1,1,2,521,19,3807 days 14:46:24.812721,0,27.42105263157895
1969,Graduation,Single,72679.0,0,1,2013-09-18,65,619,54,260,127,54,54,1,4,7,5,1,0,0,0,0,0,0,0,54,1,1,2,1168,17,3592 days 14:46:24.812721,0,68.70588235294117
1977,Master,Relationship,57954.0,1,1,2014-06-18,52,456,4,24,0,0,9,7,8,2,6,7,0,1,0,0,0,0,0,46,2,2,4,493,23,3319 days 14:46:24.812721,1,21.434782608695652
1962,Graduation,Relationship,65316.0,1,1,2013-04-24,65,112,6,92,3,9,38,2,3,2,5,4,0,0,0,0,0,0,0,61,2,2,4,260,12,3739 days 14:46:24.812721,0,21.666666666666668
1982,Graduation,Single,28567.0,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,41,1,1,2,46,7,3685 days 14:46:24.812721,0,6.571428571428571
1951,Master,Relationship,47352.0,0,1,2013-04-11,70,172,12,112,8,0,15,4,6,1,5,7,0,0,0,0,0,0,0,72,1,2,3,319,16,3752 days 14:46:24.812721,0,19.9375
1967,Graduation,Relationship,44931.0,0,1,2014-01-18,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,56,1,2,3,96,7,3470 days 14:46:24.812721,0,13.714285714285714
1967,Graduation,Single,76982.0,0,0,2014-02-15,19,464,151,292,65,60,30,1,8,3,4,4,0,0,1,0,0,0,1,56,0,1,1,1062,16,3442 days 14:46:24.812721,2,66.375
1952,Master,Relationship,57247.0,0,1,2013-08-08,50,99,4,32,37,54,6,2,2,1,7,2,0,0,0,0,0,0,0,71,1,2,3,232,12,3633 days 14:46:24.812721,0,19.333333333333332
1981,Master,Single,22944.0,1,0,2013-12-23,67,19,3,19,4,5,26,3,3,0,3,7,0,0,0,0,0,0,0,42,1,1,2,76,9,3496 days 14:46:24.812721,0,8.444444444444445
1977,Master,Relationship,25315.0,1,0,2013-11-07,46,1,9,8,11,3,22,3,3,0,3,8,0,0,0,0,0,0,0,46,1,2,3,54,9,3542 days 14:46:24.812721,0,6.0
1969,Graduation,Single,43638.0,0,1,2012-08-06,37,63,10,83,7,19,19,2,4,1,4,7,0,0,0,0,0,0,0,54,1,1,2,201,11,4000 days 14:46:24.812721,0,18.272727272727273
1984,PhD,Single,42710.0,1,0,2012-11-28,38,252,3,42,4,3,102,2,4,5,3,6,0,0,0,0,0,0,0,39,1,1,2,406,14,3886 days 14:46:24.812721,0,29.0
1982,PhD,Relationship,84169.0,0,0,2013-08-07,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,0,1,41,0,2,2,1919,20,3634 days 14:46:24.812721,3,95.95
1976,Graduation,Relationship,54058.0,0,1,2013-06-04,56,198,18,252,32,108,54,2,4,6,8,3,0,0,0,0,0,0,0,47,1,2,3,662,20,3698 days 14:46:24.812721,0,33.1
1990,Master,Relationship,24683.0,1,0,2014-03-08,98,8,4,10,6,7,6,2,2,0,4,5,0,0,0,0,0,0,0,33,1,2,3,41,8,3421 days 14:46:24.812721,0,5.125
1964,Graduation,Single,85620.0,0,0,2014-01-07,68,416,46,925,60,107,46,1,3,6,4,1,0,0,0,0,0,0,1,59,0,1,1,1600,14,3481 days 14:46:24.812721,1,114.28571428571429
1980,Graduation,Relationship,47850.0,1,0,2013-12-03,72,42,7,43,20,12,10,1,3,0,4,6,0,0,0,0,0,0,0,43,1,2,3,134,8,3516 days 14:46:24.812721,0,16.75
1968,Graduation,Relationship,19514.0,1,1,2014-01-26,47,14,3,21,2,1,28,4,3,1,2,8,1,0,0,0,0,0,1,55,2,2,4,69,10,3462 days 14:46:24.812721,2,6.9
1973,Master,Relationship,27159.0,1,1,2014-03-29,33,17,0,3,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,50,2,2,4,21,6,3400 days 14:46:24.812721,0,3.5
1963,Master,Single,39548.0,1,1,2014-03-31,87,15,4,10,3,4,18,2,1,1,3,3,0,0,0,0,0,0,0,60,2,1,3,54,7,3398 days 14:46:24.812721,0,7.714285714285714
1989,Graduation,Single,21474.0,1,0,2014-04-08,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,0,1,34,1,1,2,91,8,3390 days 14:46:24.812721,2,11.375
1971,PhD,Single,60504.0,0,1,2014-02-07,73,458,0,24,6,4,34,2,6,2,8,6,0,0,0,0,0,0,0,52,1,1,2,526,18,3450 days 14:46:24.812721,0,29.22222222222222
1963,Graduation,Relationship,22419.0,0,0,2013-04-18,74,30,3,47,19,21,42,1,3,2,2,8,0,0,0,0,0,0,0,60,0,2,2,162,8,3745 days 14:46:24.812721,0,20.25
1949,Master,Relationship,81698.0,0,0,2013-11-06,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,0,1,74,0,2,2,1008,25,3543 days 14:46:24.812721,1,40.32
1952,Graduation,Relationship,43462.0,1,1,2012-09-12,50,90,17,97,15,6,15,6,4,1,5,8,0,0,0,0,0,0,0,71,2,2,4,240,16,3963 days 14:46:24.812721,0,15.0
1978,PhD,Single,54880.0,1,0,2013-03-01,57,308,85,137,102,45,118,2,6,2,11,5,0,0,0,0,0,0,0,45,1,1,2,795,21,3793 days 14:46:24.812721,0,37.857142857142854
1982,Graduation,Relationship,79908.0,0,0,2013-04-05,30,557,129,761,29,185,111,1,5,6,7,2,0,0,1,0,0,0,0,41,0,2,2,1772,19,3758 days 14:46:24.812721,1,93.26315789473684
1970,Master,Relationship,15315.0,0,0,2013-08-03,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,0,53,0,2,2,64,8,3638 days 14:46:24.812721,0,8.0
1959,Graduation,Relationship,87771.0,0,1,2013-05-22,61,1492,38,287,50,57,33,1,5,10,4,6,0,1,1,1,1,0,1,64,1,2,3,1957,20,3711 days 14:46:24.812721,5,97.85
1978,Graduation,Relationship,33039.0,1,0,2013-09-09,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,45,1,2,3,78,7,3601 days 14:46:24.812721,0,11.142857142857142
1980,Graduation,Single,81741.0,0,0,2013-06-16,75,249,153,940,58,134,38,0,6,6,7,2,0,0,0,0,0,0,0,43,0,1,1,1572,19,3686 days 14:46:24.812721,0,82.73684210526316
1971,Master,Relationship,71499.0,0,1,2013-06-25,12,465,25,132,136,0,37,2,8,3,13,4,0,0,0,0,0,0,0,52,1,2,3,795,26,3677 days 14:46:24.812721,0,30.576923076923077
1970,Master,Relationship,62466.0,0,1,2014-01-15,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,53,1,2,3,889,26,3473 days 14:46:24.812721,0,34.19230769230769
1963,PhD,Single,48799.0,0,1,2013-11-05,9,174,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,0,0,60,1,1,2,331,15,3544 days 14:46:24.812721,0,22.066666666666666
1950,PhD,Relationship,52157.0,0,1,2014-06-07,48,189,2,29,3,2,40,2,3,2,5,4,0,0,0,0,0,0,0,73,1,2,3,265,12,3330 days 14:46:24.812721,0,22.083333333333332
1962,Graduation,Single,66565.0,0,1,2012-12-05,80,747,10,161,65,40,42,4,4,2,9,8,0,0,0,0,0,0,0,61,1,1,2,1065,19,3879 days 14:46:24.812721,0,56.05263157894737
1951,Master,Relationship,29298.0,1,1,2013-09-07,60,6,0,2,2,0,1,1,1,0,2,5,0,0,0,0,0,0,0,72,2,2,4,11,4,3603 days 14:46:24.812721,0,2.75
1979,Graduation,Single,47691.0,0,1,2013-07-05,43,14,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,0,44,1,1,2,21,4,3667 days 14:46:24.812721,0,5.25
1970,Graduation,Relationship,38200.0,1,1,2012-12-07,19,12,0,4,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,53,2,2,4,17,4,3877 days 14:46:24.812721,0,4.25
1974,Graduation,Relationship,44989.0,0,1,2012-09-12,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,0,49,1,2,3,369,16,3963 days 14:46:24.812721,0,23.0625
1968,PhD,Relationship,38443.0,1,1,2014-01-27,58,32,0,5,0,0,1,2,1,0,3,7,0,0,0,0,0,0,0,55,2,2,4,38,6,3461 days 14:46:24.812721,0,6.333333333333333
1978,Master,Single,38593.0,1,0,2013-09-13,42,51,12,49,17,24,24,3,4,1,3,8,0,0,0,0,0,0,0,45,1,1,2,177,11,3597 days 14:46:24.812721,0,16.09090909090909
1970,PhD,Relationship,64413.0,0,1,2013-08-01,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,0,53,1,2,3,279,12,3640 days 14:46:24.812721,0,23.25
